video,frame,image,actual,predicted
video_1.mp4,0,evaluation\frames\video_1_frame_0.jpg,helmet,helmet
video_1.mp4,11,evaluation\frames\video_1_frame_11.jpg,helmet,helmet
video_1.mp4,22,evaluation\frames\video_1_frame_22.jpg,helmet,helmet
video_1.mp4,33,evaluation\frames\video_1_frame_33.jpg,helmet,helmet
video_1.mp4,44,evaluation\frames\video_1_frame_44.jpg,helmet,helmet
video_1.mp4,55,evaluation\frames\video_1_frame_55.jpg,helmet,helmet
video_1.mp4,66,evaluation\frames\video_1_frame_66.jpg,helmet,helmet
video_1.mp4,77,evaluation\frames\video_1_frame_77.jpg,helmet,helmet
video_1.mp4,88,evaluation\frames\video_1_frame_88.jpg,helmet,helmet
video_1.mp4,99,evaluation\frames\video_1_frame_99.jpg,helmet,helmet
video_1.mp4,110,evaluation\frames\video_1_frame_110.jpg,helmet,helmet
video_1.mp4,121,evaluation\frames\video_1_frame_121.jpg,helmet,helmet
video_1.mp4,132,evaluation\frames\video_1_frame_132.jpg,helmet,helmet
video_1.mp4,143,evaluation\frames\video_1_frame_143.jpg,helmet,helmet
video_1.mp4,154,evaluation\frames\video_1_frame_154.jpg,no_detection,no_detection
video_1.mp4,165,evaluation\frames\video_1_frame_165.jpg,,no_helmet
video_1.mp4,176,evaluation\frames\video_1_frame_176.jpg,,no_helmet
video_1.mp4,187,evaluation\frames\video_1_frame_187.jpg,helmet,helmet
video_1.mp4,198,evaluation\frames\video_1_frame_198.jpg,helmet,helmet
video_1.mp4,209,evaluation\frames\video_1_frame_209.jpg,no_helmet,helmet
video_2.mp4,0,evaluation\frames\video_2_frame_0.jpg,,no_detection
video_2.mp4,19,evaluation\frames\video_2_frame_19.jpg,no_helmet,no_detection
video_2.mp4,38,evaluation\frames\video_2_frame_38.jpg,no_detection,no_detection
video_2.mp4,57,evaluation\frames\video_2_frame_57.jpg,no_helmet,no_detection
video_2.mp4,76,evaluation\frames\video_2_frame_76.jpg,no_detection,no_detection
video_2.mp4,95,evaluation\frames\video_2_frame_95.jpg,no_detection,no_helmet
video_2.mp4,114,evaluation\frames\video_2_frame_114.jpg,no_detection,no_detection
video_2.mp4,133,evaluation\frames\video_2_frame_133.jpg,no_detection,no_detection
video_2.mp4,152,evaluation\frames\video_2_frame_152.jpg,no_helmet,no_detection
video_2.mp4,171,evaluation\frames\video_2_frame_171.jpg,no_detection,helmet
video_2.mp4,190,evaluation\frames\video_2_frame_190.jpg,,no_helmet
